t,winds,SNII,AGB,tot_SNII,tot_winds,tot_AGB
10000.0,3.09223979894066e-08,0.0,0.0,0.0,0.0,0.0
42752.16161616159,3.549453716581839e-08,0.0,0.0,0.0,0.0010876490971270267,0.0
75504.32323232318,3.6203212783777736e-08,0.0,0.0,0.0,0.0022617772440591834,0.0
108256.48484848478,3.7001225576297226e-08,0.0,0.0,0.0,0.003460579042153941,0.0
141008.64646464636,3.70012255762973e-08,0.0,0.0,0.0,0.004672449162224881,0.0
173760.80808080794,3.7001225576297226e-08,0.0,0.0,0.0,0.00588431928229582,0.0
206512.96969696955,3.70012255762973e-08,0.0,0.0,0.0,0.007096189402366761,0.0
239265.13131313113,3.70012255762973e-08,0.0,0.0,0.0,0.008308059522437702,0.0
272017.2929292927,3.7001225576297226e-08,0.0,0.0,0.0,0.009519929642508642,0.0
304769.4545454543,3.58650095001301e-08,0.0,0.0,0.0,0.010713192996300826,0.0
337521.6161616159,3.342469058346864e-08,0.0,0.0,0.0,0.011847886724037521,0.0
370273.77777777746,3.0567445756773174e-08,0.0,0.0,0.0,0.012895827119827044,0.0
403025.9393939391,2.7677485446311453e-08,0.0,0.0,0.0,0.013849650819869866,0.0
435778.1010101007,2.511818244855349e-08,0.0,0.0,0.0,0.014714236943632771,0.0
468530.26262626227,2.2758764863386916e-08,0.0,0.0,0.0,0.015498273701657333,0.0
501282.42424242385,2.08425365091254e-08,0.0,0.0,0.0,0.016212292136271077,0.0
534034.5858585854,1.921787048038267e-08,0.0,0.0,0.0,0.016868324598335867,0.0
566786.747474747,1.789780503040566e-08,0.0,0.0,0.0,0.017476133899747042,0.0
599538.9090909086,1.6732180944037316e-08,0.0,0.0,0.0,0.018043237348447226,0.0
632291.0707070702,1.572795945921411e-08,0.0,0.0,0.0,0.01857480723073252,0.0
665043.2323232318,1.4851227124646303e-08,0.0,0.0,0.0,0.019075574461275197,0.0
697795.3939393933,1.4089411495832103e-08,0.0,0.0,0.0,0.019549508697961616,0.0
730547.5555555549,1.3390212171936545e-08,0.0,0.0,0.0,0.019999517235720646,0.0
763299.7171717165,1.2753709803356161e-08,0.0,0.0,0.0,0.020427652214628198,0.0
796051.8787878782,1.2201227229525984e-08,0.0,0.0,0.0,0.020836316280039246,0.0
828804.0404040398,1.1703700662561436e-08,0.0,0.0,0.0,0.021227785310911414,0.0
861556.2020202014,1.127095477907623e-08,0.0,0.0,0.0,0.021604020124961484,0.0
894308.363636363,1.0870901648760062e-08,0.0,0.0,0.0,0.021966616955064654,0.0
927060.5252525245,1.0514459507474247e-08,0.0,0.0,0.0,0.02231682535746914,0.0
959812.6868686861,1.0207075307019055e-08,0.0,0.0,0.0,0.02265616288605874,0.0
992564.8484848477,9.88086960409309e-09,0.0,0.0,0.0,0.02298512469519139,0.0
1025317.0101010093,9.509013506404072e-09,0.0,0.0,0.0,0.023302654987868134,0.0
1058069.1717171709,9.15734693438686e-09,0.0,0.0,0.0,0.023608336814839287,0.0
1090821.3333333326,8.848189133414523e-09,0.0,0.0,0.0,0.023903196928478417,0.0
