t,winds,SNII,AGB,tot_SNII,tot_winds,tot_AGB
10000.0,9.157805785338864e-10,0.0,0.0,0.0,0.0,0.0
46789.82828282831,1.055296155159217e-09,0.0,0.0,0.0,3.625778728242369e-05,0.0
83579.65656565662,1.074880675730853e-09,0.0,0.0,0.0,7.544220719267622e-05,0.0
120369.48484848494,1.0957984923133299e-09,0.0,0.0,0.0,0.00011537166411740528,0.0
157159.31313131325,1.0957984923133299e-09,0.0,0.0,0.0,0.00015568590248219485,0.0
193949.14141414157,1.0957984923133299e-09,0.0,0.0,0.0,0.00019600014084698443,0.0
230738.96969696987,1.0957984923133253e-09,0.0,0.0,0.0,0.0002363143792117739,0.0
267528.79797979817,1.0957984923133253e-09,0.0,0.0,0.0,0.0002766286175765633,0.0
304318.6262626265,1.0855566363034215e-09,0.0,0.0,0.0,0.0003167544578794018,0.0
341108.4545454548,1.0441815575831523e-09,0.0,0.0,0.0,0.0003559308090996358,0.0
377898.28282828315,9.900295409069088e-10,0.0,0.0,0.0,0.0003933499476018722,0.0
414688.1111111114,9.33101433272839e-10,0.0,0.0,0.0,0.00042872577675460283,0.0
451477.93939393974,8.794266797116661e-10,0.0,0.0,0.0,0.00046206707577185226,0.0
488267.76767676807,8.289076045978855e-10,0.0,0.0,0.0,0.0004934917382565607,0.0
525057.5959595963,7.81916526276123e-10,0.0,0.0,0.0,0.0005231227098409061,0.0
561847.4242424247,7.388355776947153e-10,0.0,0.0,0.0,0.0005510968142238246,0.0
598637.252525253,6.998009543797721e-10,0.0,0.0,0.0,0.0005775604097120366,0.0
635427.0808080813,6.641503243418982e-10,0.0,0.0,0.0,0.0006026501763771938,0.0
672216.9090909096,6.317461514722329e-10,0.0,0.0,0.0,0.000626488080785956,0.0
709006.737373738,6.020762049605926e-10,0.0,0.0,0.0,0.0006491841370982951,0.0
745796.5656565663,5.748593768103292e-10,0.0,0.0,0.0,0.0006708337660749466,0.0
782586.3939393945,5.497965768993214e-10,0.0,0.0,0.0,0.0006915217157820657,0.0
819376.2222222228,5.269794931153502e-10,0.0,0.0,0.0,0.0007113289191395149,0.0
856166.0505050512,5.063145976316282e-10,0.0,0.0,0.0,0.0007303362752216362,0.0
892955.8787878795,4.870020194147849e-10,0.0,0.0,0.0,0.000748608249107445,0.0
929745.7070707078,4.688324008438091e-10,0.0,0.0,0.0,0.0007661907412015101,0.0
966535.5353535361,4.5208271946675954e-10,0.0,0.0,0.0,0.0007831308957711532,0.0
1003325.3636363645,4.3673582287154656e-10,0.0,0.0,0.0,0.0007994806365447632,0.0
1040115.1919191927,4.227452495538296e-10,0.0,0.0,0.0,0.0008152907170781985,0.0
1076905.020202021,4.0971224294747544e-10,0.0,0.0,0.0,0.000830603701179137,0.0
1113694.8484848493,3.9757616164414507e-10,0.0,0.0,0.0,0.000845453702068959,0.0
1150484.6767676778,3.8604955265255924e-10,0.0,0.0,0.0,0.0008598684298024513,0.0
1187274.505050506,3.774319036519656e-10,0.0,0.0,0.0,0.0008739126056397349,0.0
1224064.3333333342,3.698122654198162e-10,0.0,0.0,0.0,0.0008876580979724826,0.0
1260854.1616161626,3.639738002622507e-10,0.0,0.0,0.0,0.0009011560296488703,0.0
1297643.9898989908,3.5936265388831276e-10,0.0,0.0,0.0,0.0009144617416183249,0.0
1334433.8181818193,3.558047227002953e-10,0.0,0.0,0.0,0.0009276171841074128,0.0
1371223.6464646475,3.5274344647054914e-10,0.0,0.0,0.0,0.0009406508668443667,0.0
1408013.474747476,3.4928596058712203e-10,0.0,0.0,0.0,0.0009535646375119405,0.0
1444803.3030303041,3.45707651905125e-10,0.0,0.0,0.0,0.0009663489853425667,0.0
1481593.1313131326,3.403429828356328e-10,0.0,0.0,0.0,0.0009789688278652856,0.0
1518382.9595959608,3.3559450713594137e-10,0.0,0.0,0.0,0.0009914026399582758,0.0
1555172.787878789,3.3035096791924416e-10,0.0,0.0,0.0,0.0010036526497947792,0.0
1591962.6161616175,3.223183477925249e-10,0.0,0.0,0.0,0.0010156584458200328,0.0
1628752.4444444457,3.1685442188204335e-10,0.0,0.0,0.0,0.0010274159740397263,0.0
1665542.272727274,3.086907222000299e-10,0.0,0.0,0.0,0.0010389228232566947,0.0
1702332.1010101023,2.9905809521674577e-10,0.0,0.0,0.0,0.0010501023105726221,0.0
1739121.9292929308,2.916272019076093e-10,0.0,0.0,0.0,0.0010609679158978204,0.0
1775911.757575759,2.8676471929818154e-10,0.0,0.0,0.0,0.0010716073856284884,0.0
1812701.5858585872,2.797091069764516e-10,0.0,0.0,0.0,0.0010820276230261686,0.0
1849491.4141414156,2.71766553953251e-10,0.0,0.0,0.0,0.00109217197046005,0.0
1886281.2424242438,2.6606962564235153e-10,0.0,0.0,0.0,0.0011020654208058573,0.0
1923071.0707070723,2.6196543436728186e-10,0.0,0.0,0.0,0.0011117785803983911,0.0
1959860.8989899005,2.5694051310428475e-10,0.0,0.0,0.0,0.0011213238107495996,0.0
1996650.727272729,2.5069752484626854e-10,0.0,0.0,0.0,0.001130661768872616,0.0
2033440.5555555571,2.454416901377109e-10,0.0,0.0,0.0,0.001139788207134435,0.0
2070230.3838383853,2.3949199692781453e-10,0.0,0.0,0.0,0.0011487085206722846,0.0
2107020.212121214,2.309952108269532e-10,0.0,0.0,0.0,0.0011573630924635672,0.0
2143810.040404042,2.2320055505719412e-10,0.0,0.0,0.0,0.0011657179845804,0.0
2180599.86868687,2.171723478772594e-10,0.0,0.0,0.0,0.0011738186063200845,0.0
2217389.6969696986,2.1265018277921437e-10,0.0,0.0,0.0,0.0011817251548675556,0.0
2254179.525252527,2.0675960472528713e-10,0.0,0.0,0.0,0.0011894401618987697,0.0
2290969.3535353555,1.992920600395755e-10,0.0,0.0,0.0,0.0011969094474090977,0.0
2327759.1818181835,1.9117336703222924e-10,0.0,0.0,0.0,0.0012040920254152742,0.0
2364549.010101012,1.870836438703463e-10,0.0,0.0,0.0,0.001211050030654215,0.0
2401338.8383838404,1.8350500412548137e-10,0.0,0.0,0.0,0.0012178669770158811,0.0
2438128.6666666684,1.7710884780738823e-10,0.0,0.0,0.0,0.0012245004378603909,0.0
2474918.494949497,1.7044145080664643e-10,0.0,0.0,0.0,0.001230893595763219,0.0
2511708.3232323253,1.6456258784177309e-10,0.0,0.0,0.0,0.0012370559662911837,0.0
2548498.1515151537,1.5918578300233895e-10,0.0,0.0,0.0,0.001243011289776284,0.0
2585287.9797979817,1.5487778649498153e-10,0.0,0.0,0.0,0.001248788462172133,0.0
2622077.80808081,1.5163240490158684e-10,0.0,0.0,0.0,0.0012544266908263413,0.0
2658867.6363636386,1.475635987605255e-10,0.0,0.0,0.0,0.0012599303756251601,0.0
2695657.4646464665,1.4165882693741485e-10,0.0,0.0,0.0,0.0012652505973136453,0.0
2732447.292929295,1.3864132363569295e-10,0.0,0.0,0.0,0.0012704066945172631,0.0
2769237.1212121234,1.3720617238312612e-10,0.0,0.0,0.0,0.0012754808855226533,0.0
2806026.949494952,1.3451705152121664e-10,0.0,0.0,0.0,0.001280479210896602,0.0
2842816.77777778,1.2823054671752795e-10,0.0,0.0,0.0,0.0012853124304070664,0.0
2879606.6060606083,1.247477369797918e-10,0.0,0.0,0.0,0.0012899659442153209,0.0
2916396.4343434367,1.2185162336846356e-10,0.0,0.0,0.0,0.0012945021182762546,0.0
2953186.262626265,1.1537006021560284e-10,0.0,0.0,0.0,0.001298865790778265,0.0
2989976.090909093,1.1408255254901451e-10,0.0,0.0,0.0,0.0013030865518895934,0.0
3026765.9191919216,1.1185932323525432e-10,0.0,0.0,0.0,0.0013072427332955952,0.0
3063555.74747475,1.1024433762906252e-10,0.0,0.0,0.0,0.0013113283110676882,0.0
3100345.575757578,1.1250011072348817e-10,0.0,0.0,0.0,0.00131542567607061,0.0
